Month,DaysWithGT001Precip,DaysWithGT010Precip,DaysWithGT32Temp,DaysWithGT90Temp,DaysWithLT0Temp,DaysWithLT32Temp,DepartureFromNormalAverageTemperature,DepartureFromNormalCoolingDegreeDays,DepartureFromNormalHeatingDegreeDays,DepartureFromNormalMaximumTemperature,DepartureFromNormalMinimumTemperature,DepartureFromNormalPrecipitation,MaximumTemperature,MeanTemperature,MinimumTemperature,TotalLiquidPrecipitation
1,14.0,7.0,31.0,0.0,8.0,26.0,0.2,0.0,-7.0,-2.0,2.5,1.48,22.3,15.0,7.7,2.18
2,6.0,4.0,28.0,0.0,7.0,15.0,-2.6,0.0,71.0,-1.4,-3.7,0.62,27.7,17.5,7.4,1.18
3,16.0,8.0,31.0,0.0,1.0,14.0,-8.2,0.0,252.0,-10.0,-6.2,0.24,31.2,23.1,15.2,1.98
4,7.0,3.0,14.0,0.0,0.0,1.0,-2.1,13.0,73.0,-3.1,-0.9,-2.1,54.8,44.0,33.3,0.92
5,7.0,3.0,0.0,0.0,0.0,0.0,5.0,34.0,-122.0,6.8,3.1,-2.0,76.2,63.0,49.7,1.23
6,10.0,6.0,0.0,1.0,0.0,0.0,4.2,92.0,-36.0,4.8,3.8,-1.98,83.3,71.7,60.2,2.44
7,11.0,6.0,0.0,3.0,0.0,0.0,-2.1,-51.0,16.0,-1.3,-3.0,-0.14,81.5,69.7,57.8,2.97
8,6.0,5.0,0.0,4.0,0.0,0.0,2.1,50.0,-17.0,3.1,1.3,1.88,83.5,71.8,60.2,5.06
9,8.0,3.0,0.0,5.0,0.0,0.0,5.8,56.0,-118.0,6.8,4.7,-2.37,79.4,66.6,53.7,0.79
10,10.0,4.0,7.0,2.0,0.0,2.0,1.6,26.0,-24.0,0.5,2.7,0.74,59.6,49.3,39.0,2.95
11,2.0,0.0,23.0,0.0,0.0,5.0,4.7,0.0,-141.0,8.0,1.4,-1.56,49.8,37.1,24.3,0.06
12,5.0,3.0,29.0,0.0,0.0,6.0,13.2,0.0,-407.0,13.0,13.3,1.11,40.3,31.5,22.7,1.84
