Month,DaysWithGT001Precip,DaysWithGT010Precip,DaysWithGT32Temp,DaysWithGT90Temp,DaysWithLT0Temp,DaysWithLT32Temp,DepartureFromNormalAverageTemperature,DepartureFromNormalCoolingDegreeDays,DepartureFromNormalHeatingDegreeDays,DepartureFromNormalMaximumTemperature,DepartureFromNormalMinimumTemperature,DepartureFromNormalPrecipitation,GreatestPrecip,GreatestPrecipDate,MaximumTemperature,MeanTemperature,MinimumTemperature,TotalLiquidPrecipitation
1,13.0,8.0,3.0,0.0,0.0,0.0,8.8,0.0,-272.0,7.5,10.1,,0.65,25-25,49.3,44.3,39.3,
2,10.0,5.0,8.0,0.0,0.0,0.0,5.8,0.0,-161.0,5.3,6.3,,0.44,12-12,48.8,43.0,37.2,
3,11.0,7.0,3.0,0.0,0.0,0.0,2.0,0.0,-63.0,1.9,2.2,,0.36,03-03,51.5,45.3,39.1,
4,11.0,9.0,0.0,0.0,0.0,0.0,4.2,7.0,-121.0,3.6,4.9,,2.36,29-29,61.2,55.8,50.4,
5,7.0,2.0,0.0,0.0,0.0,0.0,-1.3,-26.0,12.0,-2.6,0.2,,1.15,20-20,64.0,59.3,54.7,
6,8.0,7.0,0.0,0.0,0.0,0.0,-2.0,-61.0,-1.0,-2.5,-1.5,,0.86,16-16,73.2,68.0,62.8,
7,9.0,6.0,0.0,0.0,0.0,0.0,1.2,35.0,0.0,-0.4,2.7,,2.56,16-16,80.9,76.8,72.7,
8,8.0,5.0,0.0,0.0,0.0,0.0,-0.4,-11.0,-1.0,-1.3,0.6,,1.67,06-07,78.9,74.6,70.3,
9,10.0,6.0,0.0,0.0,0.0,0.0,1.4,25.0,-15.0,0.2,2.5,,2.88,23-23,75.0,70.5,66.0,
10,6.0,2.0,0.0,0.0,0.0,0.0,2.6,4.0,-75.0,1.9,3.2,-2.01,0.97,14-14,66.9,61.3,55.7,1.46
11,5.0,3.0,3.0,0.0,0.0,0.0,-0.9,0.0,25.0,-0.9,-0.8,,1.12,22-22,54.9,48.5,42.1,
