Month,DaysWithGT001Precip,DaysWithGT010Precip,DaysWithGT32Temp,DaysWithGT90Temp,DaysWithLT0Temp,DaysWithLT32Temp,DepartureFromNormalAverageTemperature,DepartureFromNormalCoolingDegreeDays,DepartureFromNormalHeatingDegreeDays,DepartureFromNormalMaximumTemperature,DepartureFromNormalMinimumTemperature,GreatestPrecip,GreatestPrecipDate,MaxSeaLevelPressureValue,MaxSeaLevelPressureValueDate,MaxSeaLevelPressureValueTime,MaximumTemperature,MeanTemperature,MinSeaLevelPressureValue,MinSeaLevelPressureValueDate,MinSeaLevelPressureValueTime,MinimumTemperature,SeaLevelPressure,StationPressure,TotalLiquidPrecipitation
1,0s,0s,5.0,0.0,0.0,0.0,8.4,0.0,-261.0,8.4,8.4,T,,30.38,8.0,1107.0,51.1,44.3,29.52,26.0,34.0,37.5,30.02,30.0,T
2,4,3,7.0,0.0,0.0,1.0,6.6,0.0,-184.0,7.2,6.0,0.77s,16-17,30.71,4.0,928.0,52.7,44.7,29.49,28.0,240.0,36.7,30.07,30.06,1.00s
3,4s,3s,2.0,0.0,0.0,0.0,2.2,0.0,-70.0,1.9,2.6,0.64s,23-24,30.46,21.0,1005.0,55.1,47.3,29.28,4.0,244.0,39.5,30.01,30.01,1.37s
4,6,6,0.0,0.0,0.0,0.0,4.8,12.0,-134.0,4.2,5.5,1.62,28-29,30.55,8.0,1037.0,68.1,59.7,29.16,30.0,1654.0,51.3,30.02,30.0,3.77s
5,9,3,0.0,0.0,0.0,0.0,-1.4,-38.0,6.0,-2.1,-0.7,1.06,29-30,30.33,27.0,1008.0,70.8,62.9,29.28,1.0,14.0,54.9,30.03,30.02,1.81s
6,9s,4,,,,,-2.7,-112.0,-4.0,-2.8,-2.7,1.66,26-27,30.16,21.0,1223.0,78.8,71.3,29.55,14.0,1719.0,63.7,29.86,29.85,2.86s
7,1s,1s,,,,,1.3,,,0.8,1.7,0.12s,31-31,30.16,26.0,804.0,86.6,79.8,29.71,29.0,1540.0,72.9,29.93,29.91,0.12s
8,4s,0s,0.0,1.0,0.0,0.0,0.6,20.0,0.0,-0.3,1.6,0.59s,15-15,30.24,2.0,1143.0,83.7,77.2,29.61,10.0,1636.0,70.7,29.93,29.92,0.67s
9,11,8,0.0,4.0,0.0,0.0,2.0,54.0,-8.0,1.3,2.7,1.47s,10-11,30.33,27.0,957.0,78.2,71.9,29.73,7.0,1538.0,65.5,30.04,30.03,4.28s
10,9,3,0.0,0.0,0.0,0.0,3.0,22.0,-68.0,3.4,2.5,0.87,14-15,30.42,24.0,925.0,69.7,61.4,29.4,21.0,319.0,53.0,29.98,29.96,1.67s
11,0s,0s,3.0,0.0,0.0,0.0,-1.1,0.0,32.0,-1.0,-1.2,0.00s,,30.54,2.0,1058.0,55.9,48.3,29.7,22.0,1450.0,40.6,30.15,30.14,
12,10,7,,,,,5.5,0.0,-184.0,4.1,7.0,2.85s,17-18,30.76,14.0,1017.0,50.9,44.9,29.16,18.0,411.0,38.9,30.13,30.11,7.99s
