Month,DaysWithGT001Precip,DaysWithGT010Precip,DaysWithGT32Temp,DaysWithGT90Temp,DaysWithLT0Temp,DaysWithLT32Temp,DepartureFromNormalAverageTemperature,DepartureFromNormalCoolingDegreeDays,DepartureFromNormalHeatingDegreeDays,DepartureFromNormalMaximumTemperature,DepartureFromNormalMinimumTemperature,GreatestPrecip,GreatestPrecipDate,MaximumTemperature,MeanTemperature,MinimumTemperature
1,13.0,6.0,0.0,0.0,0.0,0.0,6.0,-1.0,-186.0,6.0,5.9,1.26,22-22,62.7,55.7,48.7
2,10.0,7.0,0.0,0.0,0.0,0.0,8.1,35.0,-192.0,8.5,7.7,1.65,11-11,68.1,60.7,53.2
3,8.0,4.0,0.0,0.0,0.0,0.0,3.9,41.0,-79.0,3.3,4.4,0.4,10-10,68.3,62.2,56.0
4,11.0,8.0,0.0,0.0,0.0,0.0,2.1,30.0,-34.0,1.2,3.0,1.89,22-22,73.2,67.5,61.8
5,9.0,5.0,0.0,0.0,0.0,0.0,-2.0,-66.0,-5.0,-2.6,-1.3,1.73,17-17,76.1,70.9,65.8
6,11.0,8.0,0.0,1.0,0.0,0.0,-2.1,-64.0,0.0,-2.4,-1.8,1.48,23-23,82.1,77.2,72.2
7,14.0,11.0,0.0,15.0,0.0,0.0,1.6,46.0,0.0,1.8,1.2,2.56,16-16,89.4,83.8,78.1
8,10.0,5.0,0.0,12.0,0.0,0.0,2.2,68.0,0.0,2.2,2.2,2.42,16-16,88.6,83.5,78.3
9,10.0,7.0,0.0,3.0,0.0,0.0,0.4,12.0,-1.0,0.7,0.1,2.89,17-17,82.7,77.3,71.9
10,5.0,5.0,0.0,0.0,0.0,0.0,0.4,-14.0,-28.0,0.5,0.4,0.59,12-12,75.1,69.0,62.9
11,10.0,6.0,0.0,0.0,0.0,0.0,-0.5,-13.0,0.0,-0.8,-0.1,0.26,17-17,66.5,60.0,53.5
