Month,MeanTemperature,DepartureFromNormalAverageTemperature,MaximumTemperature,MinimumTemperature
1,15.161290322580646,0.4161290322580646,22.29032258064516,7.612903225806452
2,17.785714285714285,-2.3035714285714284,27.75,7.428571428571429
3,23.387096774193548,-7.464516129032258,31.06451612903226,15.096774193548388
4,44.3,-1.2866666666666666,54.833333333333336,33.266666666666666
5,63.266666666666666,5.486666666666666,76.16666666666667,49.733333333333334
6,72.0,4.8,83.3,60.13333333333333
7,69.93548387096774,-1.832258064516129,81.54838709677419,57.806451612903224
8,72.2258064516129,2.403225806451613,83.48387096774194,60.32258064516129
9,66.86666666666666,5.676666666666667,79.46666666666667,53.766666666666666
10,49.58064516129032,1.432258064516129,59.61290322580645,39.03225806451613
11,37.333333333333336,4.45,49.8,24.2
12,31.677419354838708,13.0,40.25806451612903,22.580645161290324
